Employment Rate,Alcohol Consumption per adult (lt),Expend/student Primary,Expend/student Secondary,Expend/student Tertiary,CO2 Emissions per person (Mt Tons),Gender Equality Ratio,GDP per capita
57.20209351,9.09,11.02341748,11.68491843,26.89268222,2.07,0.71,3860.9
54.93928347,6.26,,,,0.24,,1184.96
58.08489608,4.45,18.73176,279.69096,,1.1,0.68,3505.99
57.63729172,,13.6569733,17.96197679,47.28520668,5.3,,41617.06
47.09924003,16.19,21.60865033,21.86832046,28.90965876,5.04,0.675,17249.91
73.76807823,6.82,24.36502777,21.54360345,30.89563213,6.77,0.821,35008.15
56.30902248,2.64,10.92050186,20.02732939,65.33999376,1.67,0.613,2866.9
60.89684603,0.57,13.51970182,13.44622715,17.98793382,1.97,0.656,3908.29
46.28809903,1.02,13.28401887,15.11912597,27.02661224,8.3,0.59,12095.74
35.65235197,0.43,,,,3.67,,3536.34
58.10156783,14.66,13.37685436,19.81081372,27.15729576,9.35,0.762,35707.28
49.86173171,2.7,20.38912886,20.90695864,25.31029749,9.3,0.695,26223.94
44.99261679,10.19,24.04137266,27.39221746,24.35657339,6.86,0.669,26819.07
57.8810756,5.08,14.43532842,20.9776242,50.74461067,3.71,0.7,7037.9
57.9980878,7.91,21.82483606,21.81011934,18.11683026,9.2,0.648,30468.33
38.34906567,0.68,13.69885176,16.64421882,,3.7,0.615,5161.22
63.27032871,11.03,,,7.96073642,14.4,0.702,10771.39
73.05702746,4.01,22.69800953,19.21805943,233.9227101,0.29,0.654,1457.44
,3.16,24.3867889,,,0.53,,3033.81
63.66453015,,,,,,,1578.02
59.02785238,,17.40765166,20.77595682,8.149871025,,0.626,24824.12
,,,,,,,3800.35
66.65060889,0.1,12.7888424,15.79498785,119.2086679,31.78,0.635,43616.75
57.95124093,4.9,,,20.23120119,,,2049.14
78.65623635,6.86,5.571204017,6.24110117,80.7005791,,,2360.27
53.06572014,12.97,23.75808392,24.78137354,18.59337763,3.14,0.737,13859.41
45.87131319,2.26,,,14.6668343,4.52,0.607,12882.24
55.94460083,5.55,29.51656514,67.25472195,1048.467365,,0.737,1771.33
65.68553059,5.06,5.47857,8.397395847,,0.15,,413.92
47.61024696,0.1,,,23.44959,9.93,,9613.96
,,10.32196355,17.08789254,14.97120974,,,91111.08
51.07921403,15.65,15.87229448,20.69224096,21.20592298,4.26,0.717,16016.95
52.28131614,12.92,18.44590721,21.41467278,,21.13,0.699,71372.12
61.61719849,,7.612256914,11.22052,24.32269847,2.68,,68665.51
34.59233619,8.72,,,23.74772,5.64,0.696,8663.13
81.44024487,1.32,8.099414062,14.25441827,145.1142213,0.09,0.668,1018.8
71.69992046,1.58,9.551155516,19.12454604,2183.008097,0.08,0.673,822.85
60.59995242,0.84,14.47908778,19.70235934,69.04870585,7.35,0.649,13214.73
58.00657126,,15.5650155,28.97657,,3.23,0.648,5566.18
46.2928229,1.01,14.096813,44.4682927,165.5945691,0.04,0.589,1102.19
46.11057494,4.18,16.38923835,25.50380137,39.13004922,6.1,0.663,21948.56
,,23.43912,27.64147,73.49791,1.9,,6168.44
48.91386173,0.11,11.61753148,31.37111183,141.6758397,0.62,0.607,1815.21
54.62860505,3.62,10.41480466,15.64674447,29.25438928,3.02,0.648,12151.84
58.16894389,8.48,13.70053326,15.13743264,40.59996157,4.07,0.653,11464.86
,5.37,,,,0.56,,4994.56
46.22977833,20.48,36.82492767,37.02604997,40.56609831,1.29,0.714,2774.29
,,3.549419792,6.692816139,,,,47906.77
52.053952,3.32,13.68067418,10.71573,14.96280233,4.68,0.703,3418.01
,,,,,6.17,,9605.55
,,,,,13.08,,11973.02
45.87951783,1.35,17.01998353,42.74995832,85.39788365,1.59,0.58,4212.19
77.31403697,2.32,14.75458,84.79719,1408.93451,0.11,0.721,931.96
74.72853843,,2.47855,4.21517525,26.96266,0.25,,1514.73
43.01133409,10.78,18.66841433,24.98302884,112.761324,1.75,0.71,5115.87
,4.82,,,,14.2,,3966.33
60.60657622,2.41,12.52719616,11.60395707,74.34317769,0.11,0.588,1250.22
60.39711136,9.9,17.08297985,23.93294781,43.08073609,10.43,0.744,36841.78
51.20178245,,,,,30.77,,23178.37
,,,,,12.85,,30959.74
63.9040229,9.8,18.68939749,21.01215071,30.65760068,7.44,0.776,24143.95
56.48128753,5.29,9.535436554,4.175748762,,0.78,0.696,2793.17
60.45712325,0.34,27.02211759,48.28993561,427.7420365,0.07,,663.22
51.14252673,12.5,,,,0.53,0.617,2242.26
64.1976626,8.08,19.61766519,28.66191522,46.51865163,9.99,0.824,47250.42
51.3949689,0.93,12.14073893,17.3860013,24.05776994,15.56,0.593,24051.66
48.40177066,0.05,,,,0.94,0.55,2630.85
,9.98,45.02925,9.48547,80.99991,10.3,,14266.72
56.58225926,7.07,10.98115666,15.00817124,28.97173186,2.13,0.703,11372.52
70.34259544,3.56,,,,0.52,,2036.57
70.5970132,7.89,12.56705708,15.45895453,34.72266914,0.71,0.668,4421.15
66.48723892,6.71,7.08034269,9.606913716,12.58711922,1.72,0.681,8253.97
59.76790591,6.23,9.934464314,9.148307501,12.39376495,0.74,0.763,3312.91
45.4148185,13.83,23.76716042,19.81634109,20.31395852,8.31,0.694,16887.28
58.08239821,14.22,21.12052782,30.38165757,25.76712001,5.21,0.705,20181.02
41.91263138,5.75,,,,,,18080.3
74.10194955,1.27,10.33805,10.9831,109.9871431,44.72,0.607,80275.38
51.78860104,15.72,12.63179055,15.17936481,25.40347044,3.84,0.682,11015.9
56.53321427,15.99,,,12.0511717,11.54,0.695,14282.32
81.00609331,9.89,8.982899936,29.92404836,334.9773478,0.07,,1038.85
,10.01,8.90197777,17.21976197,,,,13290.96
,11.95,17.88501059,20.03672371,,,,10527.84
,5.21,18.05554224,18.16987305,,,,7055.27
,4.65,9.67822493,10.0039586,183.7684619,0.89,,5010.62
,,,,,,,44176.42
,8.59,,,,0.8,,1814.24
51.34152166,0.29,19.32681,19.26211,,16.78,0.561,20716.62
65.55701551,0.55,16.07313077,28.28663594,182.4717542,0.41,0.652,1751.05
